Short_reference,Publication_year,Title,DOI,Journal,Taxonomic_group,Climate_change_stressor,Life_stage_exposed,Life_stage_tested,Trait_category,Trait_details,Additional_comments
Robak_et_al_2019,2019,Out in the cold and sick: low temperatures and fungal infections impair a frog's skin defenses,10.1242/jeb.209445,Journal of Experimental Biology,Amphibian,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Environmental tolerance and preference, Development",survival rate; Pattern of expression of antimicrobial peptides; growth rate,NA
Bundgaard_et_al_2023,2023,Low production of mitochondrial reactive oxygen species after anoxia and reoxygenation in turtle hearts,10.1242/jeb.245516,Journal of Experimental Biology,Reptile,O₂/CO₂,Adults,Adults,Immune function and stress physiology,oxidative stress; Succinate content; ATP/ADP assay; ROS production; Aconitase activity; adenine nucleotide concentration; H2O2 consumption and production rates,NA
Cominassi_et_al_2022,2022,Metabolic rate increases with acclimation temperature and is associated with mitochondrial function in some tissues of threespine stickleback,10.1242/jeb.244659,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,maximum metabolic rate; standard metabolic rate; absolute aerobic scope; rates of mitochondrial phosphorylating respiration; Maximal rates of uncoupled respiration; cytochrome c oxidase (CCO) activity; Maximal activity of citrate synthase and lactate dehydrogenase,NA
Jimeno_et_al_2017,2017,Strong association between corticosterone levels and temperature-dependent metabolic rate in individual zebra finches,10.1242/jeb.166124,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Energetics and metabolism,Metabolic rate; Glucocorticoid hormones; corticosterone levels,NA
Zhang_et_al_2015,2015,"Cross-training in birds: cold and exercise training produce similar changes in maximal metabolic output, muscle masses and myostatin expression in house sparrows (Passer domesticus)",10.1242/jeb.121822,Journal of Experimental Biology,Bird,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Energetics and metabolism, Development","maximum metabolic rate; body mass; muscle mass; basal metabolic rate; summit metabolic; body mass; expression of myostatin, TLL-1 and TLL-2",NA
Steffen_et_al_2021,2021,"Mitochondrial capacity and reactive oxygen species production during hypoxia and reoxygenation in the ocean quahog, Arctica islandica",10.1242/jeb.243082,Journal of Experimental Biology,Other invertebrate,O₂/CO₂,Adults,Adults,"Energetics and metabolism, Immune function and stress physiology",aerobic capacity; control over oxygen flux; rate of mitochondrial ROS efflux; membrane potential; H2O2 efflux; O2 consumption,NA
Wittmann_et_al_2018,2018,"Effects of temperature on survival, moulting, and expression of neuropeptide and mTOR signalling genes in juvenile Dungeness crab (Metacarcinus magister)",10.1242/jeb.187492,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Development",survival rate; body mass; haemolymph ecdysteroid concentrations,NA
Williams_et_al_2019,2019,Diel cycling hypoxia enhances hypoxia tolerance in rainbow trout (Oncorhynchus mykiss): evidence of physiological and metabolic plasticity,10.1242/jeb.206045,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,"Cardiovascular physiology, Immune function and stress physiology",plasma cortisol; lactate richness; protein poly-ubiquitylation level; HSP70 relative concentration; corpuscular hemoglobin concentration; Aerobic metabolic rate; critical oxygen tension; Hemoglobin levels; critical oxygen tensionexcess post-hypoxia oxygen consumption; Markers of lipid metabolism; Markers of carbohydrate metabolism; Markers of protein metabolism,NA
Leiva_et_al_2016,2016,Tide-related biological rhythm in the oxygen consumption rate of ghost shrimp (Neotrypaea uncinata),10.1242/jeb.133785,Journal of Experimental Biology,Other invertebrate,O₂/CO₂,Adults,Adults,Energetics and metabolism,oxygen consumption rate,NA
Milbergue_et_al_2022,2022,How does mitochondrial function relate to thermogenic capacity and basal metabolic rate in small birds?,10.1242/jeb.242612,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Energetics and metabolism,thermogenic capacity; basal metabolic rate; respiration rate,NA
Miyano_et_al_2019,2019,Severe thermoregulatory deficiencies in mice with a deletion in the titin gene TTN,10.1242/jeb.198564,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,Energetics and metabolism,non-shivering thermogenesis capacity; metabolic rate,NA
