Short_reference,Publication_year,Title,DOI,Journal,Taxonomic_group,Climate_change_stressor,Life_stage_exposed,Life_stage_tested,Trait_category,Trait_details,Additional_comments
Hansen_et_al_2016,2016,The roles of tissue nitrate reductase activity and myoglobin in securing nitric oxide availability in deeply hypoxic crucian carp,10.1242/jeb.149195,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,"Environmental tolerance and preference, Cardiovascular physiology",nitrate reductase activity; nitrite richness; myoglobin richness; nitric oxide (NO) metabolites richness; Myoglobin concentration,NA
Ramos_et_al_2020,2020,Intraspecific variation in sensitivity to food availability and temperature-induced phenotypic plasticity in the rotifer Keratella cochlearis,10.1242/jeb.209676,Journal of Experimental Biology,Other invertebrate,Temperature,Mix (before and after hatching),"Larvae or juveniles, Adults","Environmental tolerance and preference, Development",digestion efficiency; growth rate; Sensitivity to food concentration,NA
Jensen_et_al_2014,2014,Nitric oxide metabolites during anoxia and reoxygenation in the anoxia-tolerant vertebrate Trachemys scripta,10.1242/jeb.093179,Journal of Experimental Biology,Reptile,O₂/CO₂,Adults,Adults,"Cardiovascular physiology, Immune function and stress physiology",nitrite richness; nitric oxide richness; the concentration NO metabolites,NA
Gao_et_al_2016,2016,Evaluating the role of NRF-1 in the regulation of the goldfish COX4-1 gene in response to temperature,10.1242/jeb.141184,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,Cytochrome c oxidase activity; mitochondrial content,NA
Treat_et_al_2018,2018,"Extreme physiological plasticity in a hibernating basoendothermic mammal, Tenrec ecaudatus",10.1242/jeb.185900,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,"Energetics and metabolism, Cardiovascular physiology, Development",oxygen consumption; heart rate; body temperature; righting response time; carbon dioxide production; body mass,NA
Fobian_et_al_2014,2014,Oxygen transport is not compromised at high temperature in pythons,10.1242/jeb.105148,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,"Energetics and metabolism, Cardiovascular physiology",oxygen consumption; cardiac performance; arterial blood gases; blood pressure; heart rate; blood gases,NA
Sutcliffe_et_al_2020,2020,"A rapid intrinsic heart rate resetting response with thermal acclimation in rainbow trout, Oncorhynchus mykiss",10.1242/jeb.215210,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Cardiovascular physiology,heart rate; mRNA expression,NA
Ekstrom_et_al_2016,2016,Dynamic changes in scope for heart rate and cardiac autonomic control during warm acclimation in rainbow trout,10.1242/jeb.134312,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Cardiovascular physiology,heart rate; cholinergic and adrenergic tone,NA
Delisle et al 2020,2020,Behavioural responses of threespine stickleback with lateral line asymmetries to experimental mechanosensory stimuli,10.1242/jeb.226233,Journal of Experimental Biology,Other invertebrate,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",survival rate to different temperature; proximate composition; CS activity; unsaturation index of polar lipids,NA
Andersen_et_al_2015,2015,Muscle membrane potential and insect chill coma,10.1242/jeb.123760,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,Resting membrane potential; critical thermal minimum; chill coma recovery time,NA
Fountain_et_al_2016,2016,Oxygen and energy availability interact to determine flight performance in the Glanville fritillary butterfly,10.1242/jeb.138180,Journal of Experimental Biology,Insect,O₂/CO₂,Adults,Adults,Energetics and metabolism,Flight metabolic rate; metabolites; resting metabolic rate,NA
Country_et_al_2021,2021,Mitochondrial KATP channels stabilize intracellular Ca2+ during hypoxia in retinal horizontal cells of goldfish (Carassius auratus),10.1242/jeb.242634,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,"Osmoregulation, Energetics and metabolism",[Ca2+]i in Horizontal cells; membrane potential,NA
Lyons_et_al_2022,2022,Thermogenesis is supported by high rates of circulatory fatty acid and triglyceride delivery in highland deer mice,10.1242/jeb.244080,Journal of Experimental Biology,Mammal,"Temperature, O₂/CO₂",Adults,Adults,Energetics and metabolism,thermogenic capacity; Fat lipolytic capacity and storage; Lipid concentrations and circulatory transport rates; concentrations of intramuscular triglyceride; capacity of fatty acid uptake; Skeletal muscle enzyme activity; the rate of exogenous 14C-palmitic acid oxidation,NA
Bryant_et_al_2018,2018,Subspecies differences in thermal acclimation of mitochondria function and the role of uncoupling proteins in killifish,10.1242/jeb.186320,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,mitochondrial membrane potential; proton leak; ratio of moles of ADP consumed per mole of oxygen; Mitochondrial respiration; O2 consumption rates; respiratory control ratios; Fatty-acid-induced uncoupling and thermal acclimation,NA
Smith_et_al_2019,2019,nic developmental oxygen preconditions cardiovascular functional response to acute hypoxic exposure and maximal Î²-adrenergic stimulation of anesthetized juvenile American alligators (Alligator mississippiensis),10.1242/jeb.205419,Journal of Experimental Biology,Reptile,O₂/CO₂,Adults,Adults,Cardiovascular physiology,cardiovascular function; blood parameters; Relative heart and lung mass; pressure and heart rate; blood flow,NA
Fontaine_et_al_2018,2018,Environmental temperature alters the digestive performance and gut microbiota of a terrestrial amphibian,10.1242/jeb.187559,Journal of Experimental Biology,Amphibian,Temperature,Adults,Adults,Energetics and metabolism,digestive performance,NA
Kayhani_et_al_2023,2023,Disproportionate role of nuclear-encoded proteins in organismal and mitochondrial thermal performance in a copepod,10.1242/jeb.246085,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",Survivorship; ATP synthesis rate,NA
Xu_et_al_2017,2017,Effect of temperature and food restriction on immune function in striped hamsters (Cricetulus barabensis),10.1242/jeb.153601,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,Immune function and stress physiology,Haematological parameter; Innate immunity; Cellular immunity; Humoral immunity; Blood glucose richness; Serum leptin richness,NA
Klaiman_et_al_2014,2014,Cold acclimation increases cardiac myofilament function and ventricular pressure generation in trout,10.1242/jeb.109041,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Cardiovascular physiology,cardiac contractility; level of myofilament protein phosphorylation; ventricular pressure,NA
Borowiec_et_al_2020,2020,Hypoxia acclimation alters reactive oxygen species homeostasis and oxidative status in estuarine killifish (Fundulus heteroclitus),10.1242/jeb.222877,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,Immune function and stress physiology,ROS homeostasis; oxidative status; oxidation potential; glutathione redox status; aconitase activity in the muscle; Total oxidant scavenging capacity,NA
Jochmans_et_al_2016,2016,HIF1Î± and physiological responses to hypoxia are correlated in mice but not in rats,10.1242/jeb.142869,Journal of Experimental Biology,Mammal,O₂/CO₂,Adults,Adults,Energetics and metabolism,"ventilatio; metabolic rate; HIF-1Î± expression; angiogenic responses to hypoxia; Respiratory frequency; minute ventilation; O2 consumption; CO2 production rate; ventilatory exchange ratio for O2 and CO2; the protein level of Glut1, Pdk1, Angpt2 and HIF-1α",NA
